SQ1,SQ2,SQ2_1_1,SQ2_1_2,SQ3,SQ3_1,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A2_1,A2_2,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,A3_9,A4_1,A4_2,A5,A6,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B2_1,B2_2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C1,C2,C3,C4_1,C4_2,C4_3,C4_4,C4_5,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4_1,E4_2_1,E4_2_2,E4_3,E4_4,E5,E5_1,E5_2,E6,E7,E8,E9,E10,E11,E12,E13_1,E13_2,E14_1,E14_2,E15_1,E15_2,E16_1,E16_2,DQ1_1,DQ1_2,D2_1,D2_2,DQ2_1,DQ2_2,DQ3_1,DQ3_2,DQ4_1,DQ4_2,DQ5_1
1,1,10,3,26,2,4,4,4,3,2,3,4,1,3,3,2,3,3,2,3,2,4,2,8,4,4,4,4,4,4,3,2,3,3,1,3,3,4,2,3,2,4,4,4,4,6,6,7,4,4,2,3,2,6,5,5,3,2,1,3,4,3,999,999,999,999,999,4,999,999,5,3,4,999,999,1,1,999,999,999,999,999,19,999,6,6,2,999,999,4,1,6,1,1,8,4
1,1,7,5,31,1,5,5,3,5,3,5,3,6,999,5,2,1,4,5,5,5,5,5,5,7,5,5,5,5,3,5,5,5,5,6,1,1,4,3,5,3,5,3,5,5,3,2,1,3,1,1,1,1,1,5,5,5,1,1,4,4,2,999,999,999,999,999,4,999,999,3,12,4,999,999,2,1,999,999,999,999,999,3,999,9,5,1,999,999,6,1,4,1,1,8,3
2,1,13,3,22,2,4,5,4,5,5,4,3,2,4,5,5,5,4,2,4,2,4,4,3,1,4,4,3,2,4,4,2,4,4,7,4,5,2,3,4,4,2,4,4,4,7,7,6,4,2,1,1,1,3,5,5,5,3,2,4,4,3,999,999,999,999,999,4,999,999,3,12,4,999,999,2,1,999,999,999,999,999,12,999,1,6,2,999,999,6,1,6,1,1,8,2
1,1,13,2,24,2,5,5,5,5,5,5,5,2,7,5,5,5,4,5,4,5,5,4,3,1,4,5,5,5,4,5,4,4,4,1,2,5,5,4,5,4,5,5,5,5,6,5,8,2,1,1,1,1,5,5,5,5,1,1,4,3,1,1,1,999,8,6,4,999,999,2,2,4,999,999,3,2,999,999,999,999,999,17,999,7,5,4,999,999,6,1,4,1,1,8,4
1,1,7,4,28,1,4,5,2,3,3,5,2,2,6,3,5,3,2,4,3,4,5,4,8,999,4,4,3,3,2,2,3,4,2,6,2,2,2,3,4,3,2,3,4,4,4,4,4,3,4,2,2,1,5,4,4,3,2,2,4,4,2,999,999,999,999,999,4,999,999,5,5,4,999,999,2,1,999,999,999,999,999,5,999,9,6,1,999,999,4,1,4,1,1,1,3
1,1,10,5,37,2,4,5,3,4,3,3,3,2,1,4,5,3,3,4,4,4,4,3,2,6,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,2,4,4,4,4,5,5,5,3,4,2,2,2,7,3,3,4,3,2,1,1,1,1,1,999,3,5,4,999,999,3,12,1,2,1,2,1,8,999,1,999,8,999,1,999,6,1,999,999,4,1,4,1,1,8,3
1,1,10,4,29,1,5,5,4,3,2,5,2,1,4,4,2,5,3,4,4,3,5,5,3,8,4,4,4,4,3,3,2,4,1,1,6,5,5,4,2,5,3,4,4,4,3,2,4,2,1,1,1,1,2,4,4,4,3,3,3,4,1,1,2,1,3,4,4,999,999,5,12,3,999,999,3,2,999,17,999,1,17,999,1,999,6,1,999,999,4,1,4,1,1,1,2
1,1,9,5,35,1,5,5,5,5,5,5,5,2,1,4,5,4,5,5,5,5,5,5,8,9,5,5,4,4,4,4,4,4,4,2,1,4,4,5,6,4,6,4,5,5,3,2,1,3,2,2,4,3,1,5,5,5,3,3,2,4,5,999,999,999,999,999,4,999,999,11,4,4,999,999,3,1,999,999,999,999,999,4,999,2,2,1,999,999,6,1,4,1,999,999,3
1,1,8,4,39,1,5,5,3,5,4,5,5,1,2,5,2,1,2,3,5,5,5,3,6,7,5,5,3,3,3,4,3,4,2,1,7,1,5,1,1,1,1,1,3,4,9,7,7,4,3,3,5,5,8,1,5,5,3,3,4,3,1,1,1,999,2,14,1,1,3,1,12,1,2,1,2,1,16,999,2,999,17,999,1,999,8,2,6,1,6,1,6,1,1,1,3
2,1,13,5,28,2,4,5,5,4,4,4,3,6,3,5,5,5,5,5,3,3,4,4,3,1,4,5,4,4,5,4,3,5,3,6,3,5,1,5,6,5,5,1,5,5,4,3,4,1,2,1,2,1,10,5,5,5,2,3,1,1,2,999,999,999,999,999,4,999,999,7,4,1,4,2,2,1,3,999,1,999,10,999,1,999,6,1,999,999,4,1,4,1,8,11,3
2,1,11,4,26,1,4,4,3,3,4,5,4,6,2,4,4,3,4,3,4,3,4,4,8,1,3,4,4,4,3,3,3,4,4,2,6,3,3,3,3,4,3,2,4,4,3,4,6,3,2,4,4,3,6,4,4,4,2,5,4,4,1,1,1,999,3,4,4,999,999,9,9,3,999,999,3,3,999,8,999,1,8,999,1,999,5,1,999,999,5,1,4,1,1,10,3
1,1,10,4,33,1,5,5,3,4,4,4,3,1,4,5,5,3,3,5,5,3,3,3,1,5,4,4,5,4,5,5,5,5,5,1,2,4,4,4,3,3,4,3,4,4,3,3,5,2,4,1,3,2,6,3,3,3,2,2,5,5,1,1,2,2,1,3,4,999,999,11,4,4,999,999,2,1,999,999,999,999,999,3,999,6,4,1,999,999,4,1,4,1,1,1,2
2,1,10,3,22,2,3,3,2,3,3,3,3,4,2,4,4,4,4,4,3,3,2,3,5,4,3,3,3,3,2,3,1,3,2,4,2,2,4,2,3,3,2,2,2,3,6,5,4,2,4,3,3,2,7,5,5,3,5,5,5,4,3,999,999,999,999,999,4,999,999,2,3,2,4,3,2,1,999,999,999,999,999,18,999,1,6,2,999,999,6,1,4,1,1,11,3
1,1,10,3,31,1,4,4,3,3,2,4,2,2,1,4,4,3,3,4,4,3,4,4,8,1,4,4,3,3,3,4,2,4,3,4,6,3,3,3,3,4,2,2,3,3,8,7,7,4,3,4,3,3,7,4,4,3,3,2,1,1,1,1,1,999,3,8,4,999,999,2,12,1,3,2,2,1,8,999,1,999,16,999,2,999,6,1,999,999,8,1,6,1,1,1,4
1,1,8,4,31,1,5,5,5,5,5,5,5,2,6,5,5,5,4,5,5,5,5,4,5,1,5,5,5,5,5,5,4,5,4,6,2,4,4,4,3,5,4,5,5,5,3,4,4,1,3,1,1,1,2,5,5,5,2,1,3,3,1,1,2,1,3,3,4,999,999,8,12,4,999,999,2,1,999,999,999,999,999,10,999,8,7,1,999,999,2,1,4,1,1,1,2
1,1,13,4,25,1,5,5,5,4,5,5,5,99,999,5,5,2,5,5,5,5,5,4,6,5,5,5,5,5,5,5,3,5,3,1,2,2,4,4,5,1,5,1,5,5,2,3,5,1,1,1,2,1,4,5,5,5,2,2,1,1,1,1,1,999,7,4,4,999,999,8,9,1,1,2,2,2,4,999,7,999,9,999,6,999,5,1,999,999,4,1,4,1,13,8,2
1,1,10,5,31,1,4,4,2,3,1,5,2,1,4,4,3,3,4,5,5,2,4,4,5,4,4,4,4,4,4,3,3,4,2,1,2,3,3,3,3,3,3,3,4,4,3,4,4,3,2,4,3,3,4,4,5,5,2,2,2,4,2,999,999,999,999,999,4,999,999,11,11,4,999,999,3,2,999,999,999,999,999,1,999,1,5,1,999,999,5,1,4,1,1,8,2
2,1,11,3,25,2,4,4,2,4,1,4,4,2,4,4,4,4,3,3,3,3,4,3,8,3,4,4,4,4,2,3,1,4,4,1,2,4,3,3,3,4,2,2,4,4,7,7,7,2,2,3,2,3,5,4,4,3,3,2,4,4,3,999,999,999,999,999,4,999,999,3,2,4,999,999,2,2,999,999,999,999,999,11,999,1,6,2,999,999,6,1,6,1,1,1,4
1,1,13,3,20,1,4,4,3,4,2,3,3,2,1,3,4,4,3,4,4,4,5,4,9,5,4,4,3,3,3,4,3,3,3,2,4,3,4,4,2,2,3,2,4,3,4,5,5,4,4,2,3,2,6,4,4,4,3,5,5,5,3,999,999,999,999,999,4,999,999,8,12,2,1,4,1,1,999,999,999,999,999,6,999,2,6,2,999,999,1,999,4,1,15,1,2
1,1,10,3,35,2,5,5,3,3,3,4,2,1,2,5,5,1,4,4,5,3,5,5,1,9,5,5,2,5,3,4,1,4,2,4,2,1,5,5,5,1,3,1,5,5,6,6,4,2,1,1,1,3,6,5,5,5,1,1,4,4,1,1,1,999,3,18,4,999,999,3,12,4,999,999,2,1,999,999,999,999,999,18,999,9,6,1,999,999,4,1,4,1,1,1,2
1,1,7,5,32,2,4,5,3,5,2,5,3,6,2,5,5,2,4,4,5,4,5,5,8,9,5,4,5,5,3,5,2,5,4,6,4,1,3,4,5,2,2,2,5,4,4,3,4,2,1,1,2,1,5,5,5,5,1,1,2,4,1,1,1,999,3,6,4,999,999,11,3,3,999,999,1,2,999,6,999,4,6,999,4,999,6,1,999,999,5,1,4,1,11,1,2
1,1,8,2,36,1,5,5,2,3,2,5,3,1,2,4,4,3,3,4,5,1,5,5,8,9,4,4,1,2,1,1,1,1,2,4,6,2,2,2,3,2,1,2,2,1,4,4,4,4,4,2,5,2,9,5,5,2,3,5,2,2,1,1,1,999,3,6,1,1,2,3,5,1,3,2,2,1,10,999,7,999,3,999,1,999,7,1,7,1,5,1,4,1,3,1,2
1,1,11,3,36,1,5,5,4,3,3,5,2,2,1,3,2,3,4,4,4,3,5,4,8,999,5,5,4,4,3,3,2,5,3,2,1,4,4,3,4,3,3,3,4,5,2,5,5,3,4,2,2,1,7,5,5,5,1,1,2,2,1,1,1,999,2,8,1,1,4,11,4,1,3,2,2,4,14,999,6,999,12,999,5,999,6,1,6,1,4,1,3,1,8,1,1
1,1,10,5,26,2,3,4,5,4,3,4,4,6,2,3,4,3,4,4,4,2,3,3,4,6,4,4,4,4,4,5,3,5,4,6,4,3,4,4,5,4,5,2,4,4,5,6,5,3,3,2,2,2,5,4,5,4,3,3,4,4,2,999,999,999,999,999,4,999,999,2,2,4,999,999,2,1,999,999,999,999,999,9,999,4,6,1,999,999,6,1,7,1,1,4,3
2,1,12,3,33,2,5,5,4,5,4,5,3,2,1,3,4,3,4,5,5,4,5,5,6,9,5,5,4,5,3,4,3,4,3,1,6,3,3,3,4,4,3,3,4,4,3,5,5,2,2,4,4,3,9,4,4,3,2,5,2,2,2,999,999,999,999,999,1,1,3,4,4,1,3,2,3,1,7,999,5,999,8,999,2,999,6,1,6,1,4,1,4,1,8,11,3
1,1,11,3,22,2,3,3,3,4,4,3,3,4,5,4,3,5,3,4,4,3,3,3,3,5,5,4,4,4,3,5,4,3,3,4,1,4,5,3,4,3,3,3,4,4,6,5,4,4,5,4,2,1,6,3,5,4,3,5,4,4,3,999,999,999,999,999,4,999,999,3,1,4,999,999,2,1,999,999,999,999,999,9,999,1,6,4,999,999,4,1,4,1,14,3,2
1,1,8,5,37,1,3,4,4,4,3,4,4,7,5,4,3,5,2,2,3,3,2,3,3,7,3,3,3,3,3,3,4,3,3,7,6,4,5,3,3,4,3,4,3,3,7,6,8,2,4,3,2,2,6,3,3,3,3,3,1,1,1,2,999,999,1,10,4,999,999,1,12,1,4,3,1,1,10,999,7,999,10,999,7,999,8,5,999,999,4,5,4,1,1,1,5
1,1,7,4,26,2,4,4,3,4,4,3,4,1,2,4,4,4,3,3,3,3,4,4,8,1,4,5,4,4,3,3,3,4,4,1,2,4,4,3,4,2,2,1,4,5,8,7,5,1,2,3,2,1,3,5,5,5,1,2,3,3,3,999,999,999,999,999,4,999,999,10,3,4,999,999,2,1,999,999,999,999,999,17,999,1,6,2,999,999,7,1,6,1,1,1,4
2,1,13,3,35,2,4,5,3,3,4,4,5,2,1,4,5,5,3,4,4,4,5,5,7,8,3,4,4,4,4,5,3,5,4,1,4,4,4,4,4,3,3,3,4,5,7,7,8,2,2,2,3,3,8,3,5,4,3,5,2,2,1,1,2,1,2,5,1,1,2,1,12,1,2,2,2,1,12,999,9,999,17,999,1,999,8,1,8,1,8,1,7,3,3,1,4
2,1,7,2,33,2,5,5,5,4,4,5,5,2,3,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,1,7,5,5,4,5,4,2,4,5,5,1,1,5,2,1,2,2,1,1,5,5,5,2,2,5,3,4,999,999,999,999,999,1,1,9,8,12,1,3,4,2,1,7,999,4,999,6,999,3,999,4,1,4,1,4,1,4,1,1,1,2
1,1,8,4,37,2,4,4,4,4,3,4,3,2,6,5,5,3,3,4,4,4,4,5,7,5,4,5,5,4,4,4,3,4,4,1,7,3,4,4,4,3,3,4,5,5,6,7,8,1,3,3,4,2,8,5,5,5,2,3,3,3,2,999,999,999,999,999,1,1,3,5,12,1,3,2,1,1,7,999,2,999,10,999,1,999,7,1,6,1,3,1,3,1,1,18,2
1,1,11,5,34,2,4,4,4,4,2,5,3,1,2,5,5,1,5,5,5,5,5,4,6,2,5,5,3,3,3,4,1,4,2,4,6,1,1,5,5,4,4,4,4,4,5,7,9,3,1,1,2,1,10,5,5,5,3,3,2,2,1,1,1,999,3,8,1,1,3,4,12,1,2,1,2,1,16,999,9,999,8,999,5,999,5,1,6,1,3,1,2,1,1,1,1
1,1,9,2,32,1,5,5,3,4,3,5,4,6,4,4,3,5,3,4,4,3,5,5,3,8,4,5,3,3,2,3,2,5,4,6,7,5,5,3,4,2,2,4,4,4,4,4,3,2,2,1,2,3,6,5,5,4,2,1,2,5,1,1,1,999,3,4,4,999,999,4,12,1,2,3,2,2,4,999,5,999,4,999,5,999,7,1,999,999,6,1,5,1,15,8,3
1,1,7,2,38,2,4,5,3,4,3,4,3,1,2,4,2,4,2,3,4,5,4,4,9,5,4,4,3,3,3,4,3,4,4,7,4,4,5,3,3,3,3,3,4,4,5,3,3,2,1,1,2,1,3,5,5,5,1,2,1,1,1,1,2,3,3,5,1,1,3,1,12,1,3,2,3,1,9,999,9,999,9,999,1,999,6,1,5,1,4,1,4,1,1,1,3
2,1,10,3,38,2,5,5,4,4,5,5,3,2,999,4,4,4,4,4,4,2,5,5,8,9,1,4,4,4,2,3,3,3,3,2,1,3,1,3,3,4,4,2,4,4,6,6,6,2,5,2,3,3,8,4,5,5,2,2,2,4,1,1,1,999,10,4,4,999,999,1,12,3,999,999,2,1,999,5,999,3,5,999,3,999,6,1,999,999,6,1,6,1,1,1,3
1,1,12,2,37,2,5,5,5,5,4,5,5,6,1,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,5,6,2,5,1,5,2,2,3,6,5,5,5,1,1,2,4,1,2,999,999,2,3,4,999,999,2,12,4,999,999,2,2,999,999,999,999,999,5,999,9,4,1,999,999,4,1,4,1,1,11,2
1,1,8,4,25,1,4,4,4,3,3,4,2,2,1,4,4,3,4,4,5,5,5,5,8,9,5,5,4,5,4,4,3,4,3,2,1,3,4,4,3,3,2,3,4,4,3,4,2,2,3,3,4,4,7,4,5,5,1,1,4,3,2,999,999,999,999,999,4,999,999,3,2,4,999,999,3,1,999,999,999,999,999,10,999,1,6,5,999,999,6,1,5,1,1,14,3
2,1,11,2,24,1,5,5,3,5,2,5,2,2,1,5,5,4,5,5,5,2,5,4,2,5,5,5,4,4,2,3,1,4,2,1,2,4,4,4,5,4,2,5,4,4,4,5,5,2,1,1,1,1,3,5,5,2,1,1,4,3,2,999,999,999,999,999,4,999,999,3,12,4,999,999,2,2,999,999,999,999,999,12,999,3,6,3,999,999,6,1,4,1,1,1,4
1,1,13,2,28,2,5,5,4,5,5,5,3,1,2,4,5,2,4,5,5,2,5,5,5,4,5,3,3,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,6,3,5,3,5,5,4,4,2,999,999,999,999,999,4,999,999,7,12,4,999,999,3,1,999,999,999,999,999,8,999,1,4,1,999,999,4,1,4,1,1,1,1
1,1,11,4,24,1,3,3,3,3,4,3,3,5,6,3,3,3,3,3,3,3,5,4,8,6,1,1,1,1,1,1,1,1,1,3,4,1,1,1,3,2,4,3,3,2,5,5,5,4,5,5,4,2,6,1,1,3,4,3,3,4,2,999,999,999,999,999,4,999,999,10,12,4,999,999,1,1,999,999,999,999,999,17,999,4,6,4,999,999,4,1,6,1,14,14,3
2,1,12,4,26,1,5,5,2,4,3,3,3,1,2,3,4,5,5,5,5,5,3,3,3,5,4,4,4,5,4,4,4,4,4,1,2,5,5,4,3,4,3,3,3,3,1,3,3,2,3,3,3,3,5,4,5,5,1,2,4,4,2,999,999,999,999,999,4,999,999,8,12,4,999,999,2,2,999,999,999,999,999,2,999,1,4,1,999,999,4,1,4,1,1,1,3
2,1,8,3,26,2,5,5,5,5,5,5,5,6,999,3,2,5,2,3,3,3,3,3,3,999,3,4,5,5,3,5,3,5,5,6,999,5,1,3,5,3,6,3,3,3,5,1,5,1,2,1,1,1,1,5,1,1,5,5,4,4,5,999,999,999,999,999,4,999,999,11,11,4,999,999,8,1,999,999,999,999,999,1,999,1,4,1,999,999,1,999,1,999,1,1,3
2,1,9,5,31,2,4,5,4,5,4,5,4,6,2,4,3,3,4,4,5,4,5,4,8,6,4,5,4,5,4,5,4,5,5,4,7,3,3,4,4,3,3,3,4,5,3,4,4,2,3,3,2,1,3,5,5,4,2,2,5,3,1,1,1,999,3,4,4,999,999,8,12,4,999,999,3,1,999,999,999,999,999,13,999,2,6,1,999,999,4,1,4,1,1,8,3
2,1,7,2,32,2,4,5,4,3,3,4,3,2,1,4,5,3,2,2,2,2,5,5,8,9,5,5,4,5,4,3,3,4,3,2,1,3,4,5,3,5,3,5,3,4,4,6,6,1,1,1,2,1,8,5,5,5,2,2,3,3,1,1,1,999,10,7,1,1,3,3,12,1,2,1,2,1,14,999,8,999,5,999,7,999,7,1,6,1,4,1,4,1,3,9,4
1,1,13,1,33,1,5,5,5,4,4,5,3,1,2,4,5,3,4,3,3,3,5,5,2,8,5,5,5,5,4,4,3,5,3,1,6,3,5,5,3,5,3,2,5,5,4,5,6,2,2,2,2,1,3,5,5,5,2,2,1,1,1,1,1,999,3,7,4,999,999,11,2,1,1,4,2,1,7,999,1,999,7,999,1,999,7,1,999,999,7,1,6,1,10,8,3
2,1,11,3,20,2,5,5,5,5,5,5,5,5,7,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,2,4,4,2,4,5,3,3,1,3,2,5,3,2,2,5,5,5,5,1,4,5,5,2,2,3,4,5,999,999,999,999,999,4,999,999,11,12,4,999,999,1,2,999,999,999,999,999,11,999,1,4,1,999,999,3,1,4,1,1,1,2
1,1,9,2,38,1,5,5,5,5,4,5,5,2,7,5,2,1,2,4,4,4,5,5,8,9,5,5,4,5,4,5,3,4,5,2,7,1,5,1,4,4,3,2,5,5,4,5,4,1,1,1,2,2,7,5,5,5,1,1,3,3,1,2,999,999,3,6,1,4,999,4,12,1,3,1,3,1,6,999,1,999,6,999,1,999,6,1,6,1,2,1,3,1,18,18,2
2,1,13,4,31,1,5,5,5,5,5,5,5,2,6,5,4,2,2,5,5,3,5,5,6,9,5,5,5,5,5,5,2,5,5,1,6,2,2,4,5,4,4,4,5,5,6,4,3,1,1,1,1,1,4,5,5,5,1,1,2,5,1,1,1,999,3,6,4,999,999,3,12,1,3,2,2,1,11,999,7,999,11,999,1,999,6,1,999,999,6,1,4,1,1,17,1
2,1,11,5,21,2,5,5,5,5,5,5,3,1,6,5,3,4,5,5,5,3,5,2,8,1,5,5,4,5,4,5,4,4,3,8,4,4,2,2,5,4,4,3,4,4,6,6,5,2,1,2,1,1,5,4,5,5,2,1,4,3,3,999,999,999,999,999,4,999,999,10,12,4,999,999,3,1,999,999,999,999,999,8,999,5,5,2,999,999,6,1,5,1,1,8,2
1,1,11,4,22,1,4,5,2,4,2,3,3,2,1,4,2,5,2,5,3,1,3,3,3,5,4,3,1,4,1,3,1,4,1,2,6,5,4,1,3,1,2,2,3,3,5,5,5,3,3,5,3,1,11,4,5,4,2,2,4,4,3,999,999,999,999,999,4,999,999,2,3,4,999,999,2,1,999,999,999,999,999,13,999,1,5,4,999,999,7,1,6,1,1,4,3
2,1,7,4,29,2,5,5,5,4,4,5,5,1,2,5,4,4,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,2,1,4,3,4,5,4,5,2,4,4,3,3,2,2,2,2,3,2,7,5,5,5,2,2,4,4,1,1,1,999,4,3,4,999,999,4,4,3,999,999,3,1,999,3,999,1,18,999,1,999,4,1,999,999,4,1,3,1,1,1,3
1,1,10,5,33,2,3,3,4,5,3,3,2,4,3,3,2,1,3,2,4,4,3,3,2,7,4,4,3,4,3,4,3,4,3,2,6,3,4,5,4,5,4,5,4,5,4,4,3,4,2,2,2,1,5,4,4,4,2,2,1,1,1,1,1,999,3,7,4,999,999,1,12,1,4,3,2,1,7,999,4,999,11,999,9,999,6,1,999,999,6,5,6,1,15,1,4
2,1,11,5,31,1,4,5,3,5,3,4,2,1,2,3,4,4,4,5,4,4,5,5,5,8,4,4,4,4,3,4,3,4,4,1,4,4,2,4,4,3,3,3,4,4,3,4,4,2,2,2,2,2,3,5,5,5,1,1,4,4,2,999,999,999,999,999,4,999,999,10,12,4,999,999,1,1,999,999,999,999,999,5,999,1,6,1,999,999,4,1,4,1,1,1,2
1,1,8,3,27,2,5,4,3,4,5,4,3,5,3,5,4,3,4,5,4,3,4,5,5,1,3,3,5,4,3,4,5,4,3,1,3,3,3,3,3,3,3,3,3,3,6,6,6,5,4,3,4,5,6,3,3,3,2,2,4,4,2,999,999,999,999,999,4,999,999,11,11,2,2,1,2,1,999,999,999,999,999,7,999,3,5,1,999,999,5,1,3,1,1,1,1
2,1,8,2,27,2,5,5,5,5,3,5,2,2,1,5,4,4,5,3,5,5,5,5,1,7,5,5,5,5,5,5,4,5,2,2,4,4,4,4,5,4,5,4,5,5,2,3,2,1,2,1,3,1,4,5,5,5,2,1,1,1,1,1,1,999,3,3,4,999,999,5,4,1,3,2,3,2,3,999,7,999,3,999,6,999,5,1,999,999,3,1,2,1,1,1,2
2,1,13,2,32,2,4,5,4,4,3,4,2,2,4,5,5,3,3,4,5,4,5,5,8,6,3,5,5,5,4,5,5,5,4,2,1,3,3,4,4,4,4,3,5,5,5,5,4,2,4,2,3,2,5,5,5,4,1,1,2,2,1,2,999,999,2,13,1,1,6,6,12,1,2,1,1,1,13,999,7,999,19,999,9,999,7,1,6,1,3,1,4,1,11,1,4
1,1,11,5,22,1,4,5,4,5,3,4,3,1,4,2,4,2,4,4,3,3,4,4,4,8,4,4,4,3,4,5,4,4,3,4,1,3,3,3,3,4,3,4,4,4,4,4,5,3,4,4,3,3,7,4,3,3,5,5,5,3,3,999,999,999,999,999,4,999,999,7,12,4,999,999,2,1,999,999,999,999,999,10,999,5,6,2,999,999,3,1,4,1,1,9,2
2,1,7,5,39,1,4,4,4,4,3,4,3,1,2,4,3,4,4,4,4,4,4,4,8,9,5,5,4,4,4,4,3,4,3,4,1,4,2,3,4,2,4,2,5,5,2,3,3,2,2,2,3,2,4,5,5,5,1,1,3,2,5,999,999,999,999,999,1,1,3,11,9,1,3,1,1,5,6,999,6,999,6,999,1,999,5,1,5,1,4,5,3,5,1,4,3
2,1,7,3,33,2,3,3,3,3,4,4,4,1,6,4,4,5,4,5,5,5,3,3,5,4,5,4,3,3,5,5,4,5,5,4,1,5,4,4,3,4,3,3,4,5,2,2,4,2,3,4,4,3,1,3,5,5,2,2,4,4,1,1,1,999,4,3,4,999,999,9,7,3,999,999,2,1,999,3,999,1,3,999,1,999,4,1,999,999,2,5,1,999,1,1,3
1,1,7,3,38,1,4,4,3,3,3,3,3,1,2,5,4,4,5,5,5,5,5,5,1,5,5,5,4,4,3,3,3,3,3,1,7,5,5,5,2,4,1,3,4,5,8,6,6,2,2,1,2,2,6,4,5,4,2,2,3,3,1,1,1,999,3,6,4,999,999,1,12,3,999,999,2,1,999,19,999,1,19,999,1,999,6,1,999,999,4,1,3,1,1,18,4
1,1,11,2,27,1,3,3,4,3,3,3,2,1,3,3,4,3,3,3,3,3,2,2,1,3,4,4,3,4,3,2,3,3,3,2,4,3,3,4,3,3,3,3,3,2,5,5,8,2,3,3,4,3,6,2,2,3,3,2,4,2,4,999,999,999,999,999,3,999,999,5,7,3,999,999,3,3,999,4,999,5,7,999,5,999,5,1,999,999,4,1,5,1,1,1,3
1,1,13,3,34,1,1,4,2,3,2,4,4,2,6,3,3,2,1,4,4,4,1,1,7,5,2,2,2,4,2,2,1,4,2,2,6,2,4,2,3,3,1,1,2,2,5,6,6,4,3,2,2,3,7,4,1,2,4,3,1,1,5,999,999,999,999,999,4,999,999,11,10,1,3,2,2,1,9,999,1,999,3,999,1,999,6,1,999,999,4,1,4,1,3,1,4
2,1,7,4,36,1,5,5,4,5,5,4,4,1,2,4,4,4,4,5,5,5,5,5,8,5,5,5,4,4,4,4,3,4,4,4,6,4,3,4,4,3,4,3,4,4,5,2,5,2,3,4,2,2,3,5,5,5,2,5,1,1,1,1,1,999,3,4,4,999,999,1,5,1,3,2,2,1,4,999,3,999,9,999,3,999,6,1,999,999,3,1,2,1,1,1,2
2,1,13,2,28,1,5,5,5,5,4,5,4,2,4,5,5,5,5,5,4,4,4,4,1,3,5,4,3,3,4,5,3,4,2,4,3,5,1,5,5,1,5,1,5,4,5,4,3,2,1,2,3,1,5,5,5,4,2,2,1,1,1,1,1,999,3,4,4,999,999,5,5,1,8,3,3,1,4,999,1,999,9,999,1,999,5,1,999,999,4,1,4,1,11,1,2
1,1,13,4,29,1,3,5,4,3,3,4,4,2,6,4,3,4,3,3,4,5,4,3,5,3,3,4,4,3,3,4,4,5,4,4,2,4,4,4,3,3,2,3,3,4,4,4,5,4,3,3,3,3,8,3,4,3,2,3,1,1,1,1,1,999,3,9,4,999,999,10,12,1,1,3,2,2,9,999,5,999,9,999,7,999,6,1,999,999,6,1,6,1,11,11,3
1,1,11,4,23,1,5,5,5,4,2,4,4,1,2,5,5,5,4,3,5,5,5,5,2,3,5,5,2,4,5,4,1,2,2,3,2,5,5,5,4,5,4,1,5,4,2,2,1,1,1,4,1,1,1,5,5,5,1,1,3,4,2,999,999,999,999,999,4,999,999,7,12,4,999,999,3,1,999,999,999,999,999,2,999,1,5,1,999,999,3,1,2,1,1,1,3
1,1,13,2,33,2,5,5,5,5,5,5,5,2,1,5,5,5,5,5,5,5,5,5,1,8,5,5,5,5,5,5,5,5,5,1,2,5,5,4,5,5,5,5,5,5,2,2,10,1,5,1,1,1,1,5,5,5,5,2,4,4,1,2,999,999,2,19,4,999,999,3,4,4,999,999,3,1,999,999,999,999,999,19,999,1,6,5,999,999,6,1,6,1,1,8,4
1,1,7,5,39,1,5,5,5,5,4,5,4,2,1,5,4,3,4,4,5,5,5,5,9,6,4,3,4,5,4,5,3,4,3,2,1,3,3,4,5,3,6,4,3,3,4,3,7,2,4,5,5,5,4,4,3,3,2,5,3,4,5,999,999,999,999,999,4,999,999,5,5,4,999,999,3,1,999,999,999,999,999,2,999,1,5,1,999,999,2,1,4,1,1,8,3
1,1,10,5,28,1,4,4,5,5,3,5,4,3,6,4,5,4,5,5,4,3,5,5,5,2,4,4,3,3,4,5,2,4,4,4,3,4,3,4,4,3,4,2,4,4,7,6,5,2,2,2,2,2,8,5,5,5,2,2,1,1,1,1,1,999,2,4,4,999,999,10,12,1,3,4,3,1,4,999,1,999,6,999,1,999,6,1,999,999,6,1,5,1,9,1,2
